Limited Liability Partnerships,Year,Country,ONS-code,Value
Effective numbers on register at end of period,2012,England and Wales,E92000001,50300.0
On register at start of period,2012,Scotland,S92000003,2695.0
  Incorporations,2012,Scotland,S92000003,482.0
  Dissolved,2012,Scotland,S92000003,321.0
  Restored to the register,2012,Scotland,S92000003,9.0
On register at end of period,2012,Scotland,S92000003,2865.0
      in liquidation,2012,Scotland,S92000003,21.0
                    in course of dissolution,2012,Scotland,S92000003,183.0
Effective numbers on register at end of period,2012,Scotland,S92000003,2661.0
On register at start of period,2012,Northern Ireland,N92000002,653.0
  Incorporations,2012,Northern Ireland,N92000002,115.0
  Dissolved,2012,Northern Ireland,N92000002,87.0
  Restored to the register,2012,Northern Ireland,N92000002,5.0
On register at end of period,2012,Northern Ireland,N92000002,686.0
      in liquidation,2012,Northern Ireland,N92000002,23.0
                    in course of dissolution,2012,Northern Ireland,N92000002,41.0
Effective numbers on register at end of period,2012,Northern Ireland,N92000002,622.0
On register at start of period,2012,United Kingdom,K02000001,52348.0
  Incorporations,2012,United Kingdom,K02000001,10490.0
  Dissolved,2012,United Kingdom,K02000001,5937.0
  Restored to the register,2012,United Kingdom,K02000001,122.0
On register at end of period,2012,United Kingdom,K02000001,57023.0
      in liquidation,2012,United Kingdom,K02000001,550.0
                    in course of dissolution,2012,United Kingdom,K02000001,2890.0
Effective numbers on register at end of period,2012,United Kingdom,K02000001,53583.0
On register at start of period,2013,England and Wales,E92000001,53472.0
  Incorporations,2013,England and Wales,E92000001,8472.0
  Dissolved,2013,England and Wales,E92000001,6046.0
  Restored to the register,2013,England and Wales,E92000001,103.0
On register at end of period,2013,England and Wales,E92000001,55920.0
      in liquidation,2013,England and Wales,E92000001,531.0
                    in course of dissolution,2013,England and Wales,E92000001,2791.0
Effective numbers on register at end of period,2013,England and Wales,E92000001,52598.0
On register at start of period,2013,Scotland,S92000003,2865.0
  Incorporations,2013,Scotland,S92000003,501.0
  Dissolved,2013,Scotland,S92000003,367.0
  Restored to the register,2013,Scotland,S92000003,9.0
On register at end of period,2013,Scotland,S92000003,3008.0
      in liquidation,2013,Scotland,S92000003,20.0
                    in course of dissolution,2013,Scotland,S92000003,158.0
Effective numbers on register at end of period,2013,Scotland,S92000003,2830.0
On register at start of period,2013,Northern Ireland,N92000002,686.0
  Incorporations,2013,Northern Ireland,N92000002,148.0
  Dissolved,2013,Northern Ireland,N92000002,75.0
  Restored to the register,2013,Northern Ireland,N92000002,1.0
On register at end of period,2013,Northern Ireland,N92000002,761.0
      in liquidation,2013,Northern Ireland,N92000002,25.0
                    in course of dissolution,2013,Northern Ireland,N92000002,43.0
Effective numbers on register at end of period,2013,Northern Ireland,N92000002,693.0
On register at start of period,2013,United Kingdom,K02000001,57023.0
  Incorporations,2013,United Kingdom,K02000001,9121.0
  Dissolved,2013,United Kingdom,K02000001,6488.0
  Restored to the register,2013,United Kingdom,K02000001,113.0
On register at end of period,2013,United Kingdom,K02000001,59689.0
      in liquidation,2013,United Kingdom,K02000001,576.0
                    in course of dissolution,2013,United Kingdom,K02000001,2992.0
Effective numbers on register at end of period,2013,United Kingdom,K02000001,56121.0
On register at start of period,2014,England and Wales,E92000001,55920.0
  Incorporations,2014,England and Wales,E92000001,6789.0
  Dissolved,2014,England and Wales,E92000001,6506.0
  Restored to the register,2014,England and Wales,E92000001,102.0
On register at end of period,2014,England and Wales,E92000001,56305.0
      in liquidation,2014,England and Wales,E92000001,550.0
                    in course of dissolution,2014,England and Wales,E92000001,3254.0
Effective numbers on register at end of period,2014,England and Wales,E92000001,52501.0
On register at start of period,2014,Scotland,S92000003,3008.0
  Incorporations,2014,Scotland,S92000003,446.0
  Dissolved,2014,Scotland,S92000003,392.0
  Restored to the register,2014,Scotland,S92000003,12.0
On register at end of period,2014,Scotland,S92000003,3074.0
      in liquidation,2014,Scotland,S92000003,19.0
                    in course of dissolution,2014,Scotland,S92000003,143.0
Effective numbers on register at end of period,2014,Scotland,S92000003,2912.0
On register at start of period,2014,Northern Ireland,N92000002,761.0
  Incorporations,2014,Northern Ireland,N92000002,130.0
  Dissolved,2014,Northern Ireland,N92000002,90.0
  Restored to the register,2014,Northern Ireland,N92000002,1.0
On register at end of period,2014,Northern Ireland,N92000002,802.0
      in liquidation,2014,Northern Ireland,N92000002,26.0
                    in course of dissolution,2014,Northern Ireland,N92000002,60.0
Effective numbers on register at end of period,2014,Northern Ireland,N92000002,716.0
On register at start of period,2014,United Kingdom,K02000001,59689.0
  Incorporations,2014,United Kingdom,K02000001,7365.0
  Dissolved,2014,United Kingdom,K02000001,6988.0
  Restored to the register,2014,United Kingdom,K02000001,115.0
On register at end of period,2014,United Kingdom,K02000001,60181.0
      in liquidation,2014,United Kingdom,K02000001,595.0
                    in course of dissolution,2014,United Kingdom,K02000001,3457.0
Effective numbers on register at end of period,2014,United Kingdom,K02000001,56129.0
On register at start of period,2015,England and Wales,E92000001,56305.0
  Incorporations,2015,England and Wales,E92000001,8025.0
  Dissolved,2015,England and Wales,E92000001,7916.0
  Restored to the register,2015,England and Wales,E92000001,145.0
On register at end of period,2015,England and Wales,E92000001,56413.0
      in liquidation,2015,England and Wales,E92000001,634.0
                    in course of dissolution,2015,England and Wales,E92000001,2780.0
Effective numbers on register at end of period,2015,England and Wales,E92000001,53031.0
On register at start of period,2015,Scotland,S92000003,3074.0
  Incorporations,2015,Scotland,S92000003,360.0
  Dissolved,2015,Scotland,S92000003,389.0
  Restored to the register,2015,Scotland,S92000003,6.0
On register at end of period,2015,Scotland,S92000003,3061.0
      in liquidation,2015,Scotland,S92000003,17.0
                    in course of dissolution,2015,Scotland,S92000003,128.0
Effective numbers on register at end of period,2015,Scotland,S92000003,2916.0
On register at start of period,2015,Northern Ireland,N92000002,802.0
  Incorporations,2015,Northern Ireland,N92000002,68.0
  Dissolved,2015,Northern Ireland,N92000002,135.0
  Restored to the register,2015,Northern Ireland,N92000002,2.0
On register at end of period,2015,Northern Ireland,N92000002,734.0
      in liquidation,2015,Northern Ireland,N92000002,27.0
                    in course of dissolution,2015,Northern Ireland,N92000002,32.0
Effective numbers on register at end of period,2015,Northern Ireland,N92000002,675.0
On register at start of period,2015,United Kingdom,K02000001,60181.0
  Incorporations,2015,United Kingdom,K02000001,8453.0
  Dissolved,2015,United Kingdom,K02000001,8440.0
  Restored to the register,2015,United Kingdom,K02000001,153.0
On register at end of period,2015,United Kingdom,K02000001,60208.0
      in liquidation,2015,United Kingdom,K02000001,678.0
                    in course of dissolution,2015,United Kingdom,K02000001,2940.0
Effective numbers on register at end of period,2015,United Kingdom,K02000001,56622.0
On register at start of period,2016,England and Wales,E92000001,56413.0
  Incorporations,2016,England and Wales,E92000001,8663.0
  Dissolved,2016,England and Wales,E92000001,8130.0
  Restored to the register,2016,England and Wales,E92000001,140.0
On register at end of period,2016,England and Wales,E92000001,56998.0
      in liquidation,2016,England and Wales,E92000001,654.0
                    in course of dissolution,2016,England and Wales,E92000001,4343.0
Effective numbers on register at end of period,2016,England and Wales,E92000001,52001.0
On register at start of period,2016,Scotland,S92000003,3061.0
  Incorporations,2016,Scotland,S92000003,385.0
  Dissolved,2016,Scotland,S92000003,374.0
  Restored to the register,2016,Scotland,S92000003,14.0
On register at end of period,2016,Scotland,S92000003,3083.0
      in liquidation,2016,Scotland,S92000003,21.0
                    in course of dissolution,2016,Scotland,S92000003,139.0
Effective numbers on register at end of period,2016,Scotland,S92000003,2923.0
On register at start of period,2016,Northern Ireland,N92000002,734.0
  Incorporations,2016,Northern Ireland,N92000002,72.0
  Dissolved,2016,Northern Ireland,N92000002,119.0
  Restored to the register,2016,Northern Ireland,N92000002,2.0
On register at end of period,2016,Northern Ireland,N92000002,691.0
      in liquidation,2016,Northern Ireland,N92000002,32.0
                    in course of dissolution,2016,Northern Ireland,N92000002,31.0
Effective numbers on register at end of period,2016,Northern Ireland,N92000002,628.0
On register at start of period,2016,United Kingdom,K02000001,60208.0
  Incorporations,2016,United Kingdom,K02000001,9120.0
  Dissolved,2016,United Kingdom,K02000001,8623.0
  Restored to the register,2016,United Kingdom,K02000001,156.0
On register at end of period,2016,United Kingdom,K02000001,60772.0
      in liquidation,2016,United Kingdom,K02000001,707.0
                    in course of dissolution,2016,United Kingdom,K02000001,4513.0
Effective numbers on register at end of period,2016,United Kingdom,K02000001,55552.0
On register at start of period,2017,England and Wales,E92000001,56998.0
  Incorporations,2017,England and Wales,E92000001,5062.0
  Dissolved,2017,England and Wales,E92000001,12254.0
  Restored to the register,2017,England and Wales,E92000001,170.0
On register at end of period,2017,England and Wales,E92000001,50086.0
      in liquidation,2017,England and Wales,E92000001,792.0
                    in course of dissolution,2017,England and Wales,E92000001,2148.0
Effective numbers on register at end of period,2017,England and Wales,E92000001,47146.0
On register at start of period,2017,Scotland,S92000003,3083.0
  Incorporations,2017,Scotland,S92000003,332.0
  Dissolved,2017,Scotland,S92000003,349.0
  Restored to the register,2017,Scotland,S92000003,7.0
On register at end of period,2017,Scotland,S92000003,3066.0
      in liquidation,2017,Scotland,S92000003,27.0
                    in course of dissolution,2017,Scotland,S92000003,130.0
Effective numbers on register at end of period,2017,Scotland,S92000003,2909.0
On register at start of period,2017,Northern Ireland,N92000002,691.0
  Incorporations,2017,Northern Ireland,N92000002,89.0
  Dissolved,2017,Northern Ireland,N92000002,95.0
  Restored to the register,2017,Northern Ireland,N92000002,3.0
On register at end of period,2017,Northern Ireland,N92000002,690.0
      in liquidation,2017,Northern Ireland,N92000002,30.0
                    in course of dissolution,2017,Northern Ireland,N92000002,28.0
Effective numbers on register at end of period,2017,Northern Ireland,N92000002,632.0
On register at start of period,2017,United Kingdom,K02000001,60772.0
  Incorporations,2017,United Kingdom,K02000001,5483.0
  Dissolved,2017,United Kingdom,K02000001,12698.0
  Restored to the register,2017,United Kingdom,K02000001,180.0
On register at end of period,2017,United Kingdom,K02000001,53842.0
      in liquidation,2017,United Kingdom,K02000001,849.0
                    in course of dissolution,2017,United Kingdom,K02000001,2306.0
Effective numbers on register at end of period,2017,United Kingdom,K02000001,50687.0
On register at start of period,2018,England and Wales,E92000001,50086.0
  Incorporations,2018,England and Wales,E92000001,4935.0
  Dissolved,2018,England and Wales,E92000001,6353.0
  Restored to the register,2018,England and Wales,E92000001,119.0
On register at end of period,2018,England and Wales,E92000001,48755.0
      in liquidation,2018,England and Wales,E92000001,679.0
                    in course of dissolution,2018,England and Wales,E92000001,1997.0
Effective numbers on register at end of period,2018,England and Wales,E92000001,46079.0
On register at start of period,2018,Scotland,S92000003,3066.0
  Incorporations,2018,Scotland,S92000003,301.0
  Dissolved,2018,Scotland,S92000003,387.0
  Restored to the register,2018,Scotland,S92000003,7.0
On register at end of period,2018,Scotland,S92000003,2996.0
      in liquidation,2018,Scotland,S92000003,33.0
                    in course of dissolution,2018,Scotland,S92000003,150.0
Effective numbers on register at end of period,2018,Scotland,S92000003,2813.0
On register at start of period,2018,Northern Ireland,N92000002,690.0
  Incorporations,2018,Northern Ireland,N92000002,62.0
  Dissolved,2018,Northern Ireland,N92000002,76.0
  Restored to the register,2018,Northern Ireland,N92000002,1.0
On register at end of period,2018,Northern Ireland,N92000002,676.0
      in liquidation,2018,Northern Ireland,N92000002,28.0
                    in course of dissolution,2018,Northern Ireland,N92000002,30.0
Effective numbers on register at end of period,2018,Northern Ireland,N92000002,618.0
On register at start of period,2018,United Kingdom,K02000001,53842.0
  Incorporations,2018,United Kingdom,K02000001,5298.0
  Dissolved,2018,United Kingdom,K02000001,6816.0
  Restored to the register,2018,United Kingdom,K02000001,127.0
On register at end of period,2018,United Kingdom,K02000001,52427.0
      in liquidation,2018,United Kingdom,K02000001,740.0
                    in course of dissolution,2018,United Kingdom,K02000001,2177.0
Effective numbers on register at end of period,2018,United Kingdom,K02000001,49510.0
On register at start of period,2019,England and Wales,E92000001,48755.0
  Incorporations,2019,England and Wales,E92000001,4618.0
  Dissolved,2019,England and Wales,E92000001,6042.0
  Restored to the register,2019,England and Wales,E92000001,142.0
On register at end of period,2019,England and Wales,E92000001,47626.0
      in liquidation,2019,England and Wales,E92000001,686.0
                    in course of dissolution,2019,England and Wales,E92000001,1730.0
Effective numbers on register at end of period,2019,England and Wales,E92000001,45210.0
On register at start of period,2019,Scotland,S92000003,2996.0
  Incorporations,2019,Scotland,S92000003,244.0
  Dissolved,2019,Scotland,S92000003,360.0
  Restored to the register,2019,Scotland,S92000003,7.0
On register at end of period,2019,Scotland,S92000003,2895.0
      in liquidation,2019,Scotland,S92000003,27.0
                    in course of dissolution,2019,Scotland,S92000003,95.0
Effective numbers on register at end of period,2019,Scotland,S92000003,2773.0
On register at start of period,2019,Northern Ireland,N92000002,676.0
  Incorporations,2019,Northern Ireland,N92000002,47.0
  Dissolved,2019,Northern Ireland,N92000002,93.0
  Restored to the register,2019,Northern Ireland,N92000002,2.0
On register at end of period,2019,Northern Ireland,N92000002,632.0
      in liquidation,2019,Northern Ireland,N92000002,18.0
                    in course of dissolution,2019,Northern Ireland,N92000002,26.0
Effective numbers on register at end of period,2019,Northern Ireland,N92000002,588.0
On register at start of period,2019,United Kingdom,K02000001,52427.0
  Incorporations,2019,United Kingdom,K02000001,4909.0
  Dissolved,2019,United Kingdom,K02000001,6495.0
  Restored to the register,2019,United Kingdom,K02000001,151.0
On register at end of period,2019,United Kingdom,K02000001,51153.0
      in liquidation,2019,United Kingdom,K02000001,731.0
                    in course of dissolution,2019,United Kingdom,K02000001,1851.0
Effective numbers on register at end of period,2019,United Kingdom,K02000001,48571.0
On register at start of period,2020,England and Wales,E92000001,47626.0
  Incorporations,2020,England and Wales,E92000001,5338.0
  Dissolved,2020,England and Wales,E92000001,4229.0
  Restored to the register,2020,England and Wales,E92000001,67.0
On register at end of period,2020,England and Wales,E92000001,48676.0
      in liquidation,2020,England and Wales,E92000001,674.0
                    in course of dissolution,2020,England and Wales,E92000001,1734.0
Effective numbers on register at end of period,2020,England and Wales,E92000001,46268.0
On register at start of period,2020,Scotland,S92000003,2895.0
  Incorporations,2020,Scotland,S92000003,280.0
  Dissolved,2020,Scotland,S92000003,225.0
  Restored to the register,2020,Scotland,S92000003,6.0
On register at end of period,2020,Scotland,S92000003,2956.0
      in liquidation,2020,Scotland,S92000003,25.0
                    in course of dissolution,2020,Scotland,S92000003,107.0
Effective numbers on register at end of period,2020,Scotland,S92000003,2824.0
On register at start of period,2020,Northern Ireland,N92000002,632.0
  Incorporations,2020,Northern Ireland,N92000002,48.0
  Dissolved,2020,Northern Ireland,N92000002,52.0
  Restored to the register,2020,Northern Ireland,N92000002,1.0
On register at end of period,2020,Northern Ireland,N92000002,629.0
      in liquidation,2020,Northern Ireland,N92000002,18.0
                    in course of dissolution,2020,Northern Ireland,N92000002,27.0
Effective numbers on register at end of period,2020,Northern Ireland,N92000002,584.0
On register at start of period,2020,United Kingdom,K02000001,51153.0
  Incorporations,2020,United Kingdom,K02000001,5666.0
  Dissolved,2020,United Kingdom,K02000001,4506.0
  Restored to the register,2020,United Kingdom,K02000001,74.0
On register at end of period,2020,United Kingdom,K02000001,52261.0
      in liquidation,2020,United Kingdom,K02000001,717.0
                    in course of dissolution,2020,United Kingdom,K02000001,1868.0
Effective numbers on register at end of period,2020,United Kingdom,K02000001,49676.0
On register at start of period,2021,England and Wales,E92000001,48676.0
  Incorporations,2021,England and Wales,E92000001,5102.0
  Dissolved,2021,England and Wales,E92000001,5115.0
  Restored to the register,2021,England and Wales,E92000001,102.0
On register at end of period,2021,England and Wales,E92000001,48788.0
      in liquidation,2021,England and Wales,E92000001,659.0
                    in course of dissolution,2021,England and Wales,E92000001,1869.0
Effective numbers on register at end of period,2021,England and Wales,E92000001,46260.0
On register at start of period,2021,Scotland,S92000003,2956.0
  Incorporations,2021,Scotland,S92000003,328.0
  Dissolved,2021,Scotland,S92000003,291.0
  Restored to the register,2021,Scotland,S92000003,7.0
On register at end of period,2021,Scotland,S92000003,2998.0
      in liquidation,2021,Scotland,S92000003,23.0
                    in course of dissolution,2021,Scotland,S92000003,82.0
Effective numbers on register at end of period,2021,Scotland,S92000003,2893.0
On register at start of period,2021,Northern Ireland,N92000002,629.0
  Incorporations,2021,Northern Ireland,N92000002,42.0
  Dissolved,2021,Northern Ireland,N92000002,64.0
  Restored to the register,2021,Northern Ireland,N92000002,2.0
On register at end of period,2021,Northern Ireland,N92000002,607.0
      in liquidation,2021,Northern Ireland,N92000002,18.0
                    in course of dissolution,2021,Northern Ireland,N92000002,23.0
Effective numbers on register at end of period,2021,Northern Ireland,N92000002,566.0
On register at start of period,2021,United Kingdom,K02000001,52261.0
  Incorporations,2021,United Kingdom,K02000001,5472.0
  Dissolved,2021,United Kingdom,K02000001,5470.0
  Restored to the register,2021,United Kingdom,K02000001,111.0
On register at end of period,2021,United Kingdom,K02000001,52393.0
      in liquidation,2021,United Kingdom,K02000001,700.0
                    in course of dissolution,2021,United Kingdom,K02000001,1974.0
Effective numbers on register at end of period,2021,United Kingdom,K02000001,49719.0
